[20:00:17.959] Sistema iniciado con 3 hilos
[20:00:17.968] Marcado inicial: [3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
[20:00:22.670] T2 | Marcado: [0,0,1,0,1,0,0,0,0,0,0,2]
[20:00:22.670] T3 | Marcado: [0,0,1,0,0,1,0,0,0,0,0,2]
[20:00:22.751] T11 | Marcado: [1,0,1,0,0,1,0,0,0,0,0,1]
[20:00:22.752] T4 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
[20:00:22.752] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:22.753] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:22.768] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:22.772] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:22.774] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:22.853] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:22.854] T11 | Marcado: [1,0,1,1,0,0,0,1,0,0,0,0]
[20:00:22.856] T0 | Marcado: [0,1,0,1,0,0,0,1,0,0,0,0]
[20:00:22.856] T6 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:22.858] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:22.875] T7 | Marcado: [0,0,1,1,0,0,0,0,1,0,0,1]
[20:00:22.876] T8 | Marcado: [0,0,1,1,0,0,0,0,0,1,0,1]
[20:00:22.937] T11 | Marcado: [1,0,1,1,0,0,0,0,0,1,0,0]
[20:00:22.938] T0 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:22.938] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:22.963] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:23.045] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
